domain,label
0-mail.com,1
027168.com,1
0815.ru,1
0815.ry,1
0815.su,1
0845.ru,1
0box.eu,1
0clickemail.com,1
0n0ff.net,1
0nelce.com,1
0v.ro,1
0w.ro,1
0wnd.net,1
0wnd.org,1
0x207.info,1
1-8.biz,1
1-tm.com,1
10-minute-mail.com,1
1000rebates.stream,1
100likers.com,1
105kg.ru,1
10dk.email,1
10mail.com,1
10mail.org,1
10mail.tk,1
10mail.xyz,1
10minmail.de,1
10minut.com.pl,1
10minut.xyz,1
10minutemail.be,1
10minutemail.cf,1
10minutemail.co.uk,1
10minutemail.co.za,1
10minutemail.com,1
10minutemail.de,1
10minutemail.ga,1
10minutemail.gq,1
10minutemail.ml,1
10minutemail.net,1
10minutemail.nl,1
10minutemail.pro,1
10minutemail.us,1
10minutemailbox.com,1
10minutemails.in,1
10minutenemail.de,1
10minutenmail.xyz,1
10minutesmail.com,1
10minutesmail.fr,1
10minutmail.pl,1
10x9.com,1
11163.com,1
123-m.com,1
12hosting.net,1
12houremail.com,1
12minutemail.com,1
12minutemail.net,1
12storage.com,1
140unichars.com,1
147.cl,1
14n.co.uk,1
15qm.com,1
1blackmoon.com,1
1ce.us,1
1chuan.com,1
1clck2.com,1
1fsdfdsfsdf.tk,1
1mail.ml,1
1pad.de,1
1s.fr,1
1secmail.com,1
1secmail.net,1
1secmail.org,1
1st-forms.com,1
1to1mail.org,1
1usemail.com,1
1webmail.info,1
1zhuan.com,1
2012-2016.ru,1
20email.eu,1
20email.it,1
20mail.eu,1
20mail.in,1
20mail.it,1
20minutemail.com,1
20minutemail.it,1
20mm.eu,1
2120001.net,1
21cn.com,1
247web.net,1
24hinbox.com,1
24hourmail.com,1
24hourmail.net,1
2anom.com,1
2chmail.net,1
2ether.net,1
2fdgdfgdfgdf.tk,1
2odem.com,1
2prong.com,1
2wc.info,1
300book.info,1
30mail.ir,1
30minutemail.com,1
30wave.com,1
3202.com,1
36ru.com,1
3d-painting.com,1
3l6.com,1
3mail.ga,1
3trtretgfrfe.tk,1
4-n.us,1
4057.com,1
418.dk,1
42o.org,1
4gfdsgfdgfd.tk,1
4k5.net,1
4mail.cf,1
4mail.ga,1
4nextmail.com,1
4nmv.ru,1
4tb.host,1
4warding.com,1
4warding.net,1
4warding.org,1
50set.ru,1
55hosting.net,1
5ghgfhfghfgh.tk,1
5gramos.com,1
5july.org,1
5mail.cf,1
5mail.ga,1
5minutemail.net,1
5oz.ru,1
5tb.in,1
5x25.com,1
5ymail.com,1
60minutemail.com,1
672643.net,1
675hosting.com,1
675hosting.net,1
675hosting.org,1
6hjgjhgkilkj.tk,1
6ip.us,1
6mail.cf,1
6mail.ga,1
6mail.ml,1
6paq.com,1
6somok.ru,1
6url.com,1
75hosting.com,1
75hosting.net,1
75hosting.org,1
7days-printing.com,1
7mail.ga,1
7mail.ml,1
7tags.com,1
80665.com,1
8127ep.com,1
8mail.cf,1
8mail.ga,1
8mail.ml,1
99.com,1
99cows.com,1
99experts.com,1
9mail.cf,1
9me.site,1
9mot.ru,1
9ox.net,1
9q.ro,1
a-bc.net,1
a45.in,1
a7996.com,1
aa5zy64.com,1
aaqwe.ru,1
aaqwe.store,1
abacuswe.us,1
abakiss.com,1
abatido.com,1
abcmail.email,1
abevw.com,1
abilitywe.us,1
abovewe.us,1
absolutewe.us,1
abundantwe.us,1
abusemail.de,1
abuser.eu,1
abyssmail.com,1
ac20mail.in,1
academiccommunity.com,1
academywe.us,1
acceleratewe.us,1
accentwe.us,1
acceptwe.us,1
acclaimwe.us,1
accordwe.us,1
accreditedwe.us,1
achievementwe.us,1
achievewe.us,1
acornwe.us,1
acrossgracealley.com,1
acrylicwe.us,1
activatewe.us,1
activitywe.us,1
acucre.com,1
acuitywe.us,1
acumenwe.us,1
adaptivewe.us,1
adaptwe.us,1
add3000.pp.ua,1
addictingtrailers.com,1
adeptwe.us,1
adfskj.com,1
adios.email,1
adiq.eu,1
aditus.info,1
admiralwe.us,1
ado888.biz,1
adobeccepdm.com,1
adoniswe.us,1
adpugh.org,1
adroh.com,1
adsd.org,1
adubiz.info,1
adult-work.info,1
advantagewe.us,1
advantimo.com,1
adventurewe.us,1
adventwe.us,1
advisorwe.us,1
advocatewe.us,1
